0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:47:09 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:49:50 -0300] "GET /estoque/listar HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:49:51 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:49:51 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:51:14 -0300] "GET /estoque/listar HTTP/1.1" 200 4511
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:51:14 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:51:14 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:52:21 -0300] "GET /estoque/listar HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:52:21 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:52:21 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:52:44 -0300] "GET /estoque/listar HTTP/1.1" 500 8005
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:53:27 -0300] "GET /estoque/listar HTTP/1.1" 500 8005
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:53:57 -0300] "GET /estoque/listar HTTP/1.1" 500 8005
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:54:18 -0300] "GET /estoque/listar HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:54:19 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:54:19 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:56:24 -0300] "GET /estoque/listar HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:56:24 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:08:56:24 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:01:14 -0300] "GET /estoque/listar HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:01:14 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:01:14 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:29:08 -0300] "GET /estoque/listar HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:29:08 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:29:08 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:29:08 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:29:08 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:30:27 -0300] "GET /estoque/listar HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:30:27 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:30:28 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:30:28 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:30:28 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:37:41 -0300] "GET /estoque/listar HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:37:41 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:37:41 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:37:41 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:37:41 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:39:16 -0300] "GET /estoque/listar HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:39:16 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:39:16 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:39:16 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:39:16 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:41:17 -0300] "GET /estoque/listar HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:41:17 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:41:17 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
