0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:32:48 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11737
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:32:48 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:32:48 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:32:48 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:32:56 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11737
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:33:01 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:34:50 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:34:51 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:34:51 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:34:51 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:35:18 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:35:18 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:35:18 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:35:18 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:38:32 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:38:36 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:38:40 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:39:52 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:39:53 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:39:53 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:41:16 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:41:16 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:41:16 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:42:11 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:42:11 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:42:11 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:45:22 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 500 7542
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:49:24 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:49:24 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:49:24 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:49:59 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:49:59 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:49:59 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:51:22 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3478
