127.0.0.1 - - [01/Aug/2018:07:39:02 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:39:46 -0300] "GET /estoque/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:06 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:09 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:09 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:11 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:31 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:34 -0300] "GET /estoque/ HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:34 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:34 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:40:34 -0300] "GET /estoque/resources/teste/script.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:41:05 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5967
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:41:05 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:41:05 -0300] "GET /estoque/resources/teste/jquery.priceformat.js HTTP/1.1" 200 10497
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:41:05 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:41:05 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:41:05 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:44:39 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:44:39 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:44:39 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:47:10 -0300] "GET /estoque/entrada/%E2%80%99https://jquery.gocache.net/jquery-1.4.3.min.js%E2%80%99 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:53:36 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5575
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:53:36 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:53:36 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:55:21 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5577
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:55:21 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:55:21 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:55:39 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5577
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:55:40 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:07:55:40 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:04:52 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:04:52 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:04:52 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:10:07 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:10:07 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5776
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:10:07 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:12:41 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5772
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:12:42 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:12:42 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:23:57 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:23:57 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:23:57 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:23:57 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:23:57 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:25:36 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5599
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:25:37 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:25:37 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:25:37 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:25:37 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:28:28 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5695
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:28:28 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:28:28 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:28:28 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:28:28 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:29:27 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:29:27 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:29:27 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:29:27 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [01/Aug/2018:08:29:28 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
127.0.0.1 - - [01/Aug/2018:08:45:49 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 5806
127.0.0.1 - - [01/Aug/2018:08:45:50 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
127.0.0.1 - - [01/Aug/2018:08:45:50 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
127.0.0.1 - - [01/Aug/2018:08:45:50 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
127.0.0.1 - - [01/Aug/2018:08:45:50 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
127.0.0.1 - - [01/Aug/2018:08:45:50 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
