0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:48:46 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:48:46 -0300] "GET /estoque/resources/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:48:46 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:48:46 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:48:46 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:52:44 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 200 6796
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:52:44 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:52:44 -0300] "GET /estoque/resources/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:52:44 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:52:44 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:23 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:24 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:24 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:24 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:24 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:24 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:53:24 -0300] "GET /estoque/resources/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
