127.0.0.1 - - [05/Jun/2018:08:12:38 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:21 -0300] "GET /casadocodigo/ HTTP/1.1" 200 8994
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:22 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:23 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:23 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:23 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:23 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:42 -0300] "GET /casadocodigo/login HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:42 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:42 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:13:43 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "POST /casadocodigo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/ HTTP/1.1" 200 9196
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:00 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:01 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:01 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:01 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
0:0:0:0:0:0:0:1 - - [05/Jun/2018:08:14:01 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
