127.0.0.1 - - [06/Jul/2018:08:45:45 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:46:45 -0300] "GET /estoque/ HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:46:46 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:46:46 -0300] "GET /estoque/resources/css;jsessionid=E3B43908FAF30AC10DE160FECE756008/style_index.css HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:46:47 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:51:28 -0300] "GET /estoque/ HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:51:28 -0300] "GET /estoque/resources/css/style_index.css HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:51:28 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:51:33 -0300] "GET /estoque/ HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:51:34 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:51:34 -0300] "GET /estoque/resources/css/style_index.css HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:56:06 -0300] "GET /estoque/ HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:56:06 -0300] "GET /estoque/resources/css/style_index.css HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:56:06 -0300] "GET /estoque/ie6.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:56:06 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:56:06 -0300] "GET /estoque/resources/css/img_39.gif HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:56:06 -0300] "GET /estoque/resources/css/header.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:57:08 -0300] "GET /estoque/ HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:57:09 -0300] "GET /estoque/resources/css/style_index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:57:09 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:57:09 -0300] "GET /estoque/resources/css/header.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:08:57:09 -0300] "GET /estoque/resources/css/img_39.gif HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:02:58 -0300] "GET /estoque/ HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:02:58 -0300] "GET /estoque/resources/css/print.css HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:02:58 -0300] "GET /estoque/resources/css/style_index.css HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:02:58 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:02:59 -0300] "GET /estoque/resources/css/img_39.gif HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:02:59 -0300] "GET /estoque/resources/css/header.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:05:38 -0300] "GET /estoque/ HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:05:39 -0300] "GET /estoque/resources/css/style_index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:05:39 -0300] "GET /estoque/resources/css/print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:05:39 -0300] "GET /estoque/flower.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:05:39 -0300] "GET /estoque/resources/css/img_39.gif HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jul/2018:09:05:39 -0300] "GET /estoque/resources/css/header.jpg HTTP/1.1" 404 949
